"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"21","بوابة","وش صندوق الوارد في البوابة وشلون أستخدمه؟","صندوق الوارد في البوابة هو شاشة تُعرض عند اختيار ""صندوق الوارد"" من القائمة العامة، ويتم من خلالها عرض طلبات الموظفين التي تكون مرحلة الاعتماد الحالية لها من صلاحية المستخدم الحالي. تظهر هذه الطلبات في جدول يحتوي على البيانات التالية: رقم الطلب، اسم الموظف، الكادر الوظيفي، نوع الطلب، تاريخ الطلب، والمرفقات.

يمكن للمستخدم اختيار طلب أو أكثر من الطلبات المعروضة لاعتمادها أو رفضها بشكل جماعي من خلال مربعات الاختيار في الجدول. في حالة رفض الطلبات المختارة، يجب على المستخدم إدخال سبب الرفض. خيارات الاعتماد أو الرفض الجماعي تتفعل في أعلى الجدول عند تحديد طلبات متعددة.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","6196","2026-03-20T01:03:22.320Z",""
"22","طلبات","كيف أشوف طلباتي السابقة اللي قدمتها؟","يمكنك استعراض طلباتك السابقة من خلال بوابة الخدمة الذاتية للموظف. سيظهر لك نظام الطلبات جدول يوضح جميع الطلبات التي قدمتها وما تم على كل طلب بالتفصيل، حيث يمكنك الضغط على رابط ""استعراض الطلب"" ليتم عرض جميع مراحل الطلب، وتواريخ الإجراءات وحالات الاعتماد أو الرفض وأي ملاحظات مرتبطة به. كذلك تتوفر خاصية البحث والاختيار حسب رقم الطلب أو نوعه أو تاريخ التقديم.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","5097","2026-03-20T01:03:29.440Z",""
"23","انتداب","ليش ما أقدر أعدل وسيلة السفر في طلب الانتداب؟","لا يُسمح بتعديل وسيلة السفر أو أي بيانات متعلقة بطريقة السفر إلى خيار آخر إذا صدر أمر إركاب للموظف لهذا الانتداب. يمكنك فقط تعديل وسيلة السفر إذا لم يصدر أمر إركاب بعد لهذا الانتداب.

المصدر: [الأسئلة الشائعة]","success","6241","2026-03-20T01:03:37.716Z",""
"24","انتداب","وش الحقول الإلزامية اللي لازم أدخلها في طلب الإفادة عن الانتداب؟","الحقول الإلزامية عند تسجيل طلب الإفادة عن الانتداب الداخلي هي:

رقم القرار الأصلي (يجب البحث عنه)
تاريخ الطلب
تاريخ بداية الإفادة
تاريخ نهاية الإفادة
المرفقات الأساسية (حسب نوع الطلب)

الحقول التالية تُعرض تلقائيًا من النظام ولا تحتاج إدخال يدوي:

اسم الموظف
رقم الموظف
رقم السجل المدني
حالة الموظف

المصدر: [الأسئلة الشائعة]","success","4696","2026-03-20T01:03:44.439Z",""
"25","انتداب","إذا حفظت طلب انتداب هل ينزل مباشرة لشؤون الموظفين؟","لا، يجب اعتماد الطلب من الرئيس المباشر أولًا عبر شاشة اعتماد طلبات الموظفين التابعين لي إداريًا قبل انتقاله إلى المراحل التالية في شئون الموظفين.

المصدر: [الأسئلة الشائعة]","success","5158","2026-03-20T01:03:51.620Z",""
"26","إعارة","كم أقصى مدة للإعارة في النظام؟","يُسمح بإعارة الموظف لمدة لا تزيد على ثلاث سنوات في كل مرة، ويجوز تجديدها لمدد أخرى، بشرط ألا تتجاوز مدة الإعارة المتصلة ست سنوات. كما أنه في جميع الأحوال، لا يجوز أن يزيد مجموع مدد إعارة الموظف على عشر سنوات خلال مدة خدمته الوظيفية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","6211","2026-03-20T01:03:59.855Z",""
"27","شكاوى","هل أقدر أقدم شكوى في البوابة وكيف؟","نعم، يمكنك تقديم شكوى في البوابة. الخطوات كالتالي:

الدخول إلى رابط ""تقديم شكوى أو اقتراح"".
الضغط على زر ""جديد"".
تعبئة الخانات المطلوبة وحفظ الشكوى.

سيتم استقبال الشكوى ودراستها من قبل الجهة المختصة.

المصدر: [الأسئلة الشائعة]","success","4618","2026-03-20T01:04:06.507Z",""
"28","اقتراحات","وين ألقى شاشة تسجيل الاقتراحات للموظفين؟","تجد شاشة تسجيل الاقتراحات للموظفين من خلال الدخول إلى قائمة ""الخدمات وتقديم الطلبات"" في بوابة الخدمة الذاتية للموظف، ثم اختيار ""تقديم شكوى أو اقتراح"". عند اختيار هذه الشاشة، يقوم النظام بفتح صفحة تعرض الشكاوى والاقتراحات المقدمة ضمن جدول خاص بذلك. لإضافة اقتراح جديد، يمكنك الضغط على زر ""جديد"" ليتم فتح شاشة تسجيل الاقتراح، ويمكنك من خلالها إدخال تفاصيل الاقتراح وإرساله.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","6267","2026-03-20T01:04:14.805Z",""
"29","إجازات","وش الفرق بين الإجازة الاستثنائية والإجازة الدراسية؟","الإجازة الاستثنائية هي إجازة تمنح للموظف لأسباب تقبلها الجهة الحكومية، ولا تزيد مدتها على سنتين خلال خمس سنوات سواء كانت لمدة متصلة أو لمدد متفرقة. تستحق الموظفة أيضاً إجازة استثنائية لمرافقة زوجها أو من تعوله شرعاً إلى الخارج بقرار من الجهة الحكومية، بحد أقصى عشر سنوات طوال خدمتها.

أما الإجازة الدراسية فهي نوع آخر من الإجازات تصنفها اللائحة التنفيذية للموارد البشرية بشكل مستقل عن الإجازة الاستثنائية. لا تحتسب مدة الإجازة الاستثنائية أو الإجازة الدراسية ضمن مدة الخبرة المطلوبة للترقية، ولا يجوز ترقية الموظف إذا كان في أي منهما.

بالتالي، الاختلاف الرئيسي أن الإجازة الاستثنائية تمنح لأسباب عامة أو مرافقة، بينما الإجازة الدراسية تمنح بغرض الدراسة. كما أن لكل منهما شروط وضوابط ومدة قصوى خاصة بها.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5706","2026-03-20T01:04:22.543Z",""
"30","إجازات","كم مدة إجازة مرافقة المريض؟","تنص اللائحة التنفيذية للموارد البشرية في الخدمة المدنية (مادة 147) على أنه في الحالات التي يضطر فيها الموظف إلى مرافقة أحد أقاربه لعلاجه، أو الأم إذا رغبت في مرافقة طفلها الذي لا يتجاوز عمره 12 عاماً، فإنه يسمح لكل منهم بالتمتع برصيده من الإجازات العادية. فإذا زادت مدة المرافقة على ما يستحقه من الإجازات العادية، يسمح له بالغياب ويعامل عن المدة الزائدة وفق الفقرة (أ) من المادة (141) من اللائحة، بحسب ما تحدده التقارير الطبية.

كما يجوز بقرار من الوزير المختص منح الموظف لأسباب تقبلها الجهة الحكومية إجازة استثنائية لا تزيد مدتها على سنتين خلال خمس سنوات سواء كانت لمدة متصلة أو لمدد متفرقة. وتستحق الموظفة السعودية التي ترغب في مرافقة زوجها أو من يعولها شرعاً إلى الخارج إجازة استثنائية بقدر مدة المرافقة وبحد أقصى لا يتجاوز عشر سنوات متصلة أو منفصلة طوال خدمتها الوظيفية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","6791","2026-03-20T01:04:31.363Z",""
"31","خطابات","كيف أطلب خطاب تعريف من البوابة؟","يمكنك طلب خطاب تعريف من البوابة من خلال شاشة الاستعلام عن مشهد التعريف. تتيح لك الشاشة الاستعلام عن خطاب التعريف بغرض التحقق من صحة الخطاب أو طباعته، وذلك بحسب الإعدادات المعتمدة في النظام. إليك الطريقة:

يمكنك الاستعلام عن مشهد التعريف بإدخال رقم السجل المدني أو رقم المشهد الخاص بك ثم الضغط على زر ""بحث"".
النظام سيعرض لك معلومات خطاب التعريف المرتبط بتلك البيانات (نوع الخطاب: بالراتب/بدون راتب)، واسم الموظف صاحب الطلب، والجهة الموجه لها الخطاب.
يمكنك كذلك طباعة نموذج خطاب التعريف مباشرةً من النظام المرتبط برقم المشهد والسجل المدني المدخل.

المصدر: [دليل المستخدم] - User Manual HPA-part-2of2.pdf","success","5757","2026-03-20T01:04:39.153Z",""
"32","خطابات","ابغى أطبع خطاب تعريف بالراتب والبدلات وين القاها؟","يمكنك طباعة خطاب التعريف بالراتب والبدلات من خلال الدخول إلى نظام بوابة الخدمة الذاتية للموظف. ستجد خيار ""طباعة خطابات التعريف بالراتب والبدلات"" في قائمة خطابات الموظف. تتيح لك الشاشة الخاصة بذلك استعراض بيانات خطابات التعريف بالراتب والبدلات وطباعتها مباشرة لك كمستخدم حالي أو للموظفين التابعين لك إداريًا. بعد اختيار الجهة الموجه لها الخطاب ونموذج الطباعة المناسب (براتب مع البدلات)، اضغط زر ""طباعة"" وسيتم عرض نموذج الخطاب المطلوب.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","5156","2026-03-20T01:04:46.333Z",""
"33","خطابات","كيف أقدم على شهادة خبرة من النظام؟","لتقديم طلب شهادة خبرة من النظام، يجب عليك اتباع الخطوات التالية من خلال بوابة الخدمة الذاتية للموظف:


اختر ""تسجيل طلب شهادة خبرة"" من قائمة خطابات الموظف.
ستظهر لك شاشة تسجيل طلب شهادة خبرة.
أدخل البيانات المطلوبة في الحقول التالية:
الرقم الخاص للطلب (يظهر تلقائياً بعد الحفظ).
تاريخ الخطاب (يظهر التاريخ الحالي ويمكن تغييره).
تحديد ما إذا كان الخطاب خارجي (نعم/لا).
موضوع الخطاب.
الجهة الموجه لها شهادة الخبرة.
نص شهادة الخبرة.
يمكنك اختيار نموذج الطباعة إذا كان خطاب الخبرة خارجي، أما إذا لم يكن خطاب خارجي فلن يكون بإمكانك اختيار نموذج الطباعة.
بعد إدخال جميع البيانات المطلوبة، يمكنك حفظ الطلب.

يرجى ملاحظة أنه يجب اعتماد الطلب من الرئيس المباشر بعد حفظه حتى ينتقل إلى شؤون الموظفين.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","5172","2026-03-20T01:04:53.531Z",""
"34","انتداب","ليش ما أقدر أعدل بيانات خط السير في قرار الانتداب؟","لا يُسمح بتغيير بيانات خط السير أو وسيلة السفر في قرار الانتداب إذا صدر أمر إركاب للموظف لهذا الانتداب. إذا لم يصدر أمر إركاب يمكنك تعديلها، أما إذا صدر فلا يكون حقل خط السير مفعّلًا للتعديل.

المصدر: [الأسئلة الشائعة]","success","5228","2026-03-20T01:05:00.785Z",""
"35","مستودعات","وش صفة الطلب في طلب صرف المواد وشلون أحددها؟","صفة الطلب في طلب صرف المواد يمكنك تحديدها من قائمة منسدلة عند تعبئة الطلب، وتحتوي الخيارات على:


عادي (وهي القيمة الإفتراضية)
عاجل
عاجل جداً

يتم الاختيار بين هذه القيم حسب درجة الاستعجال للطلب. جميع تلك الخيارات متاحة في خانة صفة الطلب ويمكن اختيار الأنسب منها عند إنشاء طلب الصرف.

المصدر: [دليل المستخدم] - دليل_المستخدم_لبوابة_المستودعات_والمشتريات.pdf","success","6244","2026-03-20T01:05:09.052Z",""
"36","مستودعات","كيف أسجل خطاب تأمين في بوابة المستودعات؟","لتسجيل خطاب تأمين في بوابة المستودعات والمشتريات، يمكنك اتباع الخطوات التالية:


الدخول إلى بوابة المستودعات والمشتريات.
من قسم ""الطلبات""، اختر ""تسجيل خطاب تأمين"".
ستظهر شاشة تسجيل طلب التأمين والتي تشمل البيانات التالية: رقم خطاب طلب التأمين، تاريخ الخطاب، موضوع خطاب طلب التأمين، حالة الطلب، الجهة الطالبة.
قم بإدخال البيانات المطلوبة في الحقول المخصصة.
بعد الانتهاء من إدخال البيانات، اضغط على ""حفظ"" ليتم حفظ الطلب.
في حال رغبتك بمراجعة أو تعديل بيانات الطلب يمكن الضغط على زر ""تفاصيل"" من جدول الطلبات لاسترجاع بيانات الطلب والتعديل عليها إذا لزم الأمر.
النظام يتحقق من صحة البيانات المدخلة ويعرض رسالة تؤكد على نجاح عملية الحفظ.

هذه العمليات متاحة للموظفين أصحاب الصلاحية داخل الجامعة والتي تظهر لهم حسب الجهة التي يتبعون لها.

المصدر: [دليل المستخدم] - دليل_المستخدم_لبوابة_المستودعات_والمشتريات.pdf","success","6257","2026-03-20T01:05:17.331Z",""
"37","مستودعات","أبي أعتمد خطاب طلب تأمين من الجهة الطالبة وين ألقاها؟","يمكنك اعتماد خطاب طلب التأمين من الجهة الطالبة من خلال بوابة المستودعات والمشتريات. يتم الدخول على الشاشة الخاصة باعتماد خطاب طلب التأمين من الجهة الطالبة، وستظهر لك قائمة بالطلبات التي يمكن اعتمادها حسب الصلاحيات المتاحة لك في النظام. يعرض النظام قائمة مختصرة بالطلبات المسجلة، بحيث تشمل البيانات: رقم طلب التأمين، تاريخ الطلب، موضوع الطلب، اسم الموظف، والموجه من. يمكنك البحث عن الطلب المناسب ثم اعتماده إلكترونياً إذا كنت من أصحاب الصلاحية لاعتماد هذه الخطابات.

إذا لم تظهر لك أي طلبات، تحقق من مدخلات البحث أو الصلاحيات الممنوحة لك في النظام. تعتمد هذه الإجراءات على ما هو مسجل في بوابة المشتريات والمستودعات.

المصدر: [دليل المستخدم] - دليل_المستخدم_لبوابة_المستودعات_والمشتريات.pdf","success","6769","2026-03-20T01:05:26.124Z",""
"38","مستودعات","وش مراحل اعتماد خطاب التأمين في البوابة؟","تمر مراحل اعتماد خطاب التأمين في بوابة المستودعات والمشتريات بالخطوات التالية:

يقوم المستخدم بتسجيل طلب التأمين وإدخال كافة البيانات المطلوبة، ثم اختيار ""حفظ"" لطلب التأمين.
يتحقق النظام من صحة البيانات المدخلة، ويتم حفظ الطلب وإظهار رسالة ""تمت عملية الحفظ بنجاح"".
بعد تسجيل الطلب، تتم متابعة مراحل اعتماد الطلبات بواسطة الموظفين المسؤولين حسب الصلاحيات.
تبدأ مراحل الاعتماد من الجهة الطالبة (صاحب الصلاحية في الجهة الطالبة)، ثم تنتقل إلى إدارة المشتريات، ثم إدارة المستودعات، ثم الجهة الفنية.
في كل مرحلة، يحق للمعني اعتماد الطلب أو رفضه، وفي حالة الرفض يجب إدخال سبب الرفض.
بعد الانتهاء من جميع خطوات الاعتماد، يتم تحديث حالة الطلب حسب النتائج: ""معتمد"" أو ""مرفوض"" حسب كل جهة.

المصدر: [دليل المستخدم] - دليل_المستخدم_لبوابة_المستودعات_والمشتريات.pdf","success","6754","2026-03-20T01:05:34.907Z",""
"39","مستودعات","كيف أضيف صنف في طلب التأمين؟","لإضافة صنف في طلب التأمين، عليك اتباع الخطوات التالية:


اختيار ""جديد"" من شريط الأدوات الفرعي الخاص بجدول الأصناف المطلوب تأمينها.
سيقوم النظام بفتح نافذة منبثقة (Window Popup) لإضافة الأصناف.
اختر نوع البند (صنف معرف أو خدمة). القيمة الافتراضية هي ""صنف معرف"".
إذا كان نوع البند ""صنف معرف""، أدخل رقم الصنف (يجب أن يكون معرفًا في المستودعات).
إذا كان نوع البند ""خدمة""، أدخل رقم مجموعة الخدمة.
بإمكانك إدخال رقم القطعة اختياريًا إذا كان نوع البند ""صنف معرف"".
أدخل الكمية المطلوبة للصنف.
اختر الوحدة للصنف، وتكون القيمة الافتراضية هي الوحدة الرئيسية.
بعد إدخال كل البيانات المطلوبة، اضغط ""حفظ"" من شريط المهام الفرعي.
ستظهر الأصناف المضافة في جدول الأصناف المطلوب تأمينها. ويمكنك إضافة أصناف أخرى بنفس الخطوات.

المصدر: [دليل المستخدم] - دليل_المستخدم_لبوابة_المستودعات_والمشتريات.pdf","success","7360","2026-03-20T01:05:44.293Z",""
