id,question,category,file_name,file_page
39,كيف أضيف صنف في طلب التأمين؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,19
40,وش معنى الكمية المتوفرة والكمية المحجوزة في المستودع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,74
41,كيف أسجل طلب صرف مواد من المستودع؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,34
42,ليش ما يظهر عندي المستودع اللي أبي أختاره؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,9
43,كيف أضيف محضر استلام جديد؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,46
44,وش الفرق بين أنواع الاستلام في المحاضر؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,47
45,كيف أعتمد محضر استلام من مدير الجهة المستلمة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,59
46,ابغى أرجع عهدة للمستودعات كيف الطريقة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,63
47,ليش ما أقدر أسجل طلب ارجاع عهدة لبعض الأصناف؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,68
48,وش معنى كشف أرصدة العهد وكيف أطلعه؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,78
49,كيف أعرف رصيد إجازاتي العادية من البوابة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,337
50,كم مدة الإجازة العادية المستحقة في السنة؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,33
51,هل يحق لي تعويض رصيد الإجازات إذا استقلت؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,33
52,كيف أقدم على إجازة امتحان دراسي؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,173
53,وش شروط الإجازة الدراسية بدون راتب؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,34
54,أبي أبتعث دراسة خارجية وش المطلوب؟,ابتعاث,Priority_Source_2_User Manual HPA-Complete.pdf,87
55,كيف أسجل طلب ابتعاث داخلي؟,ابتعاث,Priority_Source_2_User Manual HPA-Complete.pdf,83
56,وش الفرق بين الابتعاث والإيفاد للدراسة؟,ابتعاث,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,41
57,كم أقل مدة خدمة عشان أتقدم لابتعاث؟,ابتعاث,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,41
58,كيف أقدم على إجازة غسيل كلى؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,188
59,هل تحتسب جلسات الغسيل الكلوي ضمن الإجازة المرضية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,35
60,كيف أقدم إجازة مرضية بسبب إصابة عمل؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,163
61,وش الفرق بين الإجازة المرضية العادية وإجازة المرض الخطير؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,34
62,كيف أتأكد من حالة طلبي المرفوض من شؤون الموظفين؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,75
63,ليش طلب الإجازة ما زال تحت الإعداد؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,18
64,كيف أعدل على طلب إجازة بعد ما سجلته؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,143
65,وش معنى اعتماد الطلبات المتأخرة في البوابة؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,77
66,كيف أسوي طلب قطع أو إلغاء إجازة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,222
67,أبي أمدد إجازتي كيف الطريقة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,243
68,ليش ما أقدر أمدد الإجازة المرضية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,35
69,كيف أسجل مباشرة بعد الإجازة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,247
70,وش هي إجازة تعويض الأعياد والعطل الأسبوعية؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,198
71,هل تنحسب العطل الرسمية ضمن الإجازة العادية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
72,كيف أعرف جهة عملي الفعلية من البوابة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,342
73,أبي أشوف بياناتي الوظيفية كاملة وين ألقاها؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,342
74,كيف أطبع ملف الخدمة الخاص بي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,346
75,وش هي الخبرات السابقة وكيف أضيفها؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,51
76,كيف أضيف دورة تدريبية حصلت عليها؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,55
77,وين ألقى الدورات التدريبية المسجلة باسمي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,348
78,كيف أضيف وثيقة شخصية جديدة مثل جواز سفر؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,38
79,وش هي الوثائق الشخصية المطلوبة في النظام؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,352
80,كيف أحدث بيانات المرافقين التابعين لي؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,34
81,أبي أضيف مرافق جديد من هم من الدرجة الثالثة؟,مرافقين,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,5
82,كم مدة إجازة عدة الوفاة للموظفة؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
83,كيف أقدم إجازة عدة وفاة من البوابة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,176
84,وش هي إجازة المشاركة الوطنية ومتى تطلب؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,32
85,كيف أسجل طلب إجازة حج؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,255
86,هل أقدر أخذ إجازة حج أكثر من مرة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,258
87,وش هي إجازة التدريب على أعمال الإعاقة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,258
88,كيف أسجل طلب إجازة ثقافية داخلية؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,227
89,وش الفرق بين الإجازة الثقافية الداخلية والخارجية؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,230
90,كيف أقدم على إجازة رياضية؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,182
91,هل أحتاج مستندات معينة لإجازة الزواج؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,239
92,كم مرة يحق لي أخذ إجازة زواج؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,240
93,كيف أسجل طلب إجازة وقوع كارثة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,236
94,وش معنى إجازة حضانة يتيم مكفول؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,233
95,كيف أقدم على طلب تفويض صلاحية لموظف ثاني؟,تفويض,Priority_Source_2_User Manual HPA-Complete.pdf,137
96,ليش ما أقدر أفوض صلاحيتي لموظف في إدارة ثانية؟,تفويض,Priority_Source_2_User Manual HPA-Complete.pdf,137
97,كم مدة التفويض المسموحة في النظام؟,تفويض,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,56
98,كيف ألغي تفويض صلاحية بعد ما سويته؟,تفويض,Priority_Source_2_User Manual HPA-Complete.pdf,138
99,وش هي طلبات العهد وكيف أسجل نقل عهدة؟,عهد,Priority_Source_2_User Manual HPA-Complete.pdf,126
100,كيف أقبل أو أرفض عهدة محولة لي؟,عهد,Priority_Source_2_User Manual HPA-Complete.pdf,129
101,ليش العهدة المحولة انلغت قبل ما أرد عليها؟,عهد,Priority_Source_2_User Manual HPA-Complete.pdf,130
102,كيف أسجل طلب أمر إركاب؟,إركاب,Priority_Source_2_User Manual HPA-Complete.pdf,131
103,وش الفرق بين أمر الإركاب وتذاكر السفر؟,إركاب,Priority_Source_2_User Manual HPA-Complete.pdf,131
104,كيف أطلب تعويض تذاكر سفر؟,نفقات,Priority_Source_2_User Manual HPA-Complete.pdf,140
105,وش المطلوب عشان أطلب تعويض عن غياب بعذر؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,143
106,كم مدة التعويض المسموحة عن الغياب؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,202
107,كيف أسجل طلب تغيير جهة ومقر العمل الفعلية؟,تعديل بيانات,Priority_Source_2_User Manual HPA-Complete.pdf,134
108,ليش لازم موافقة الرئيس المباشر على تغيير جهة العمل؟,تعديل بيانات,Priority_Source_2_User Manual HPA-Complete.pdf,136
109,كيف أشوف ملف الراتب الخاص بي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,344
110,أبي أعرف الراتب المصرف في شهر معين وين ألقى التفاصيل؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,296
111,كيف أطبع كشف الراتب الشهري؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,297
112,وش هي العلاوات وكيف أشوف اللي أخذتها؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,320
113,كيف أتأكد من الترقيات اللي حصلت عليها؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,318
114,وش هي الانتدابات وكيف أشوف انتداباتي السابقة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,316
115,كيف أعرف عدد أيام الانتداب المستحقة لي؟,انتداب,Priority_Source_2_User Manual HPA-Complete.pdf,316
116,وش هي المكافآت والنفقات المصروفة خلال فترة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,313
117,كيف أستعلم عن مكافآت العمل خارج الدوام؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,363
118,كم سعر الساعة في مكافأة العمل الإضافي؟,مكافآت,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,9
119,وش هي إجازة تعويض التأخير وكيف تحسب؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,224
120,كيف أسجل طلب تحويل طبي؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,251
121,ليش ما أقدر أطبع التحويل الطبي؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,252
122,كيف أضيف نموذج طباعة للخطابات؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,401
123,وش هي إعدادات خطاب التعريف وكيف أعدلها؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,391
124,كيف أضيف رابط خارجي في البوابة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,389
125,وش هي مراحل اعتماد الطلبات وكيف أحددها؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,393
126,كيف أضيف استطلاع رأي جديد للموظفين؟,استطلاعات,Priority_Source_2_User Manual HPA-Complete.pdf,395
127,كيف أشوف نتائج استطلاعات الرأي؟,استطلاعات,Priority_Source_2_User Manual HPA-Complete.pdf,369
128,وش هي استبيانات الموظفين وكيف أضيفها؟,استبيانات,Priority_Source_2_User Manual HPA-Complete.pdf,412
129,كيف أضيف أنواع الشكاوى والاقتراحات؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,397
130,وش الفرق بين الموظف المسؤول والموظف المختص في الشكاوى؟,شكاوى,Priority_Source_2_User Manual HPA-Complete.pdf,29
131,كيف أعين موظفين مخولين بالاعتماد نيابة عني؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,399
132,وش هي إعدادات إخفاء وإظهار حقول الدرجة والتقدير؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,409
133,كيف أحدد المدراء المخولين لاعتماد الميثاق والتقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,405
134,وش هو ميثاق الأداء وكيف أسجله؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,261
135,كيف أسجل تقييم أداء للموظفين التابعين لي؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,79
136,ليش ما أقدر أدخل تقييم لنفسي؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,80
137,كيف أتظلم من نتيجة تقييم الأداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,270
138,وش هي مراحل اعتماد تقييم الأداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,272
139,كيف أشوف تقييماتي السابقة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,300
140,وش هو التقدير العام للموظف وكيف أعبيه؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,279
141,كيف أسند تقييم موظف لمدير ثاني؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,283
142,ليش الموظف مستثنى من التقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,286
143,كيف أطبع كشف بالموظفين حسب حالة الميثاق؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,288
144,وش هي صلاحيات مدير النظام في البوابة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,371
145,كيف أضيف مستخدم جديد للبوابة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,374
146,ليش الموظف ما يقدر يدخل البوابة مع إنه مضاف؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,374
147,كيف أغير كلمة سر مستخدم؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,381
148,وش هي إدارة الأخبار وكيف أضيف خبر جديد؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,378
149,كيف أحدد عدد مرات طباعة الاستعلامات المسموحة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,385
150,وش هي الشاشات المستخدمة في النظام وكيف أتحكم فيها؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,387
151,كم مدة الإجازة الاستثنائية للمرافق؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,212
152,هل أقدر أقدم إجازة اضطرارية للمتعاقدين؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,215
153,كيف أحسب رصيد الإجازة للمتعاقد؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,216
154,وش هي إجازة تعويض إجازة للمتعاقد؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,218
155,كيف أتأكد من صحة مشهد التعريف؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,328
156,ليش مشهد التعريف ما يظهر عندي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,329
157,كيف أستعلم عن طلباتي كمدير للبوابة؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,330
158,وش هو استطلاع تتبع الطلبات؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,333
159,كيف أعرف المرحلة اللي وصل لها طلبي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,334
160,ليش الطلب معلق في مرحلة الاعتماد؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,334
161,كم عدد المراحل لاعتماد طلب الإجازة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,393
162,كيف أضيف مجموعة صلاحية جديدة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,394
163,وش هي شروط التصفية في النظام؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,406
164,كيف أربط نموذج طباعة بشرط تصفية؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,402
165,وش الفرق بين القرار الرئيسي والقرار الفرعي؟,قرارات,Priority_Source_2_User Manual HPA-Complete.pdf,334
166,كيف أعرف إذا القرار صدر له مسير أو لا؟,قرارات,Priority_Source_2_User Manual HPA-Complete.pdf,335
167,ليش القرار ما ظهر في الرواتب؟,قرارات,Priority_Source_2_User Manual HPA-Complete.pdf,335
168,كيف أتأكد من صدور أمر صرف للراتب؟,رواتب,Priority_Source_2_User Manual HPA-Complete.pdf,335
169,وش هي أوامر الصرف ومستندات الدفع؟,مالية,Priority_Source_2_User Manual HPA-Complete.pdf,304
170,كيف أشوف تفاصيل المبالغ في أوامر الصرف؟,مالية,Priority_Source_2_User Manual HPA-Complete.pdf,305
171,وش هي حسابات العهد والأمانات والسلف؟,مالية,Priority_Source_2_User Manual HPA-Complete.pdf,307
172,كيف أطبع كشف بحسابات العهد؟,مالية,Priority_Source_2_User Manual HPA-Complete.pdf,308
173,ليش ما تظهر عندي العهدة المسجلة على المبنى؟,عهد,Priority_Source_2_User Manual HPA-Complete.pdf,309
174,كيف أعرف الوظائف التابعة لإدارتي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,311
175,وش معنى حالة الوظيفة مشغولة أو شاغرة؟,وظائف,Priority_Source_2_User Manual HPA-Complete.pdf,312
176,كيف أطبع بيان الوظائف التابعة لي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,312
177,ليش ما يظهر عندي الموظفين التابعين لي إدارياً؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,298
178,كيف أشوف قائمة الموظفين التابعين لي؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,298
179,وش معنى عرض الموظفين التابعين للوحدات الفرعية؟,استعلامات,Priority_Source_2_User Manual HPA-Complete.pdf,299
180,كيف أضبط إعدادات الدخول للبوابة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,371
181,وش الفرق بين نوع المستخدم ويندوز وموظفين شؤون موظفين؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,371
182,كيف أفعل رابط نسيت كلمة السر؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
183,ليش ما يوصلني رمز التحقق على الجوال؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
184,كم الوقت اللازم لإخراج المستخدم من النظام؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
185,كيف أحدد صاحب الصلاحية الافتراضي للطلبات المتأخرة؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
186,وش معنى "الحد الأقصى لمدة التأخير في اعتماد الطلبات"؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
187,كيف أسمح للموظفين بتسجيل انتداب داخلي لأنفسهم؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,372
188,ليش ما أقدر أسجل انتداب لنفسي مع إن الإعداد مفعل؟,انتداب,Priority_Source_2_User Manual HPA-Complete.pdf,403
189,كيف أضيف موظف في قائمة المسموح لهم بانتداب أنفسهم؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,403
190,وش هي تنبيهات تقييم الأداء وكيف أشغلها؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,373
191,كم يوم قبل انتهاء فترة التقييم يرسل تنبيه؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,373
192,كيف أحدد وسيلة إرسال التنبيهات؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,373
193,ليش الموظفين ما يوصلهم اشعارات بالطلبات؟,إعدادات,Priority_Source_2_User Manual HPA-Complete.pdf,373
194,وش هي الفترات المسموح فيها تعديل الميثاق؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,263
195,كيف أضيف فترات تقييم في ميثاق الأداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,264
196,وش هي الأهداف الاستراتيجية في تقييم الأداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,264
197,كيف أحدد الوزن النسبي للأهداف في التقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,265
198,وش هي الجدارات وكيف أضيفها في التقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,266
199,ليش الأهمية النسبية للجدارات ما تتغير؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,266
200,كيف ألغي اعتماد ميثاق أداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,266
201,كم درجة في تقييم الأداء الوظيفي؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,270
202,كيف أحسب التقدير العام للموظف؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,270
203,ليش ما يظهر التقدير بعد التقريب عندي؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,270
204,كيف أضيف تظلم على نتيجة تقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,271
205,ليش تظلمي ما زال قيد المراجعة؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,271
206,كيف أطبع كشف بالتظلمات على نتائج التقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,293
207,وش هي لجنة التظلمات في النظام؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,271
208,كيف أعتمد الميثاق لجميع الموظفين مرة وحدة؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,274
209,ليش ما أقدر أعتمد تقييم الأداء لمجتمع التقييم؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,276
210,كيف أعرف الموظفين اللي ما دخلوا تقييم أداء؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,276
211,وش معنى التقديرات اللي تجاوزت نسب التصنيف؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,277
212,كيف أضيف نقاط القوة في التقدير العام؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,281
213,ليش لازم أدخل مبررات إذا التقدير ممتاز أو غير مرضي؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,280
214,كيف أطبع التقدير العام للموظف؟,تقييم,Priority_Source_2_User Manual HPA-Complete.pdf,281
215,وش هي إجازة المشاركة بأعمال الإغاثة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,184
216,كيف أسجل طلب إجازة مشاركة بأعمال إغاثة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,184
217,ليش لازم أحدد موظف مكلف بأعمالي في طلب الإجازة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,144
218,كيف أضيف عنواني خلال الإجازة؟,إجازات,Priority_Source_2_User Manual HPA-Complete.pdf,144
